Temperature(°),W12(um),W34(um),W58(um),W6(um),W7(um),Idc(uA),Length(um),Gain(db),Bandwidth(Hz),GBW(MHz),Power(uW),PM(degree),GM(dB),PSRR(dB),SlewRate (V/us),CMRR,Class
-40,14.6,30,18,30,30,130,0.18,53.2476,28253.8,53.18,2174.18,56.6277,6.36226,49.3726,6.9291,61.2115,0
-40,14.6,30,18,30,30,130,0.18,53.2526,28271.9,53.3167,2174.34,56.5821,6.35163,49.3779,6.9296,61.2162,0
-40,14.7,30,18,30,30,130,0.18,53.2577,28289.9,53.4525,2174.5,56.5367,6.34107,49.3831,6.9302,61.2209,0
-40,14.7,30,18,30,30,130,0.18,53.2627,28307.9,53.5875,2174.66,56.4915,6.33057,49.3883,6.9307,61.2256,0
-40,14.8,30,18,30,30,130,0.18,53.2676,28325.7,53.7217,2174.82,56.4465,6.32013,49.3935,6.9313,61.2303,0
-40,14.8,30,18,30,30,130,0.18,53.2725,28343.4,53.8554,2174.98,56.4016,6.30976,49.3986,6.9319,61.2349,0
-40,14.9,30,18,30,30,130,0.18,53.2774,28361,53.9884,2175.14,56.357,6.29944,49.4037,6.9324,61.2396,0
-40,14.9,30,18,30,30,130,0.18,53.2823,28378.6,54.1205,2175.29,56.3126,6.28919,49.4088,6.9329,61.2441,0
-40,15,30,18,30,30,130,0.18,53.2871,28396,54.2519,2175.45,56.2683,6.279,49.4138,6.9335,61.2487,0
-40,15.1,30,18,30,30,130,0.18,53.2919,28413.3,54.3825,2175.6,56.2243,6.26887,49.4188,6.934,61.2532,0
-40,15.1,30,18,30,30,130,0.18,53.2967,28430.6,54.5124,2175.76,56.1804,6.2588,49.4238,6.9346,61.2577,0
-40,15.2,30,18,30,30,130,0.18,53.3015,28447.7,54.6415,2175.91,56.1367,6.24879,49.4287,6.9351,61.2622,0
-40,15.2,30,18,30,30,130,0.18,53.3062,28464.8,54.7698,2176.06,56.0932,6.23883,49.4337,6.9356,61.2666,0
-40,15.3,30,18,30,30,130,0.18,53.3109,28481.8,54.8975,2176.22,56.0499,6.22894,49.4385,6.9362,61.2711,0
-40,15.3,30,18,30,30,130,0.18,53.3155,28498.7,55.0245,2176.37,56.0068,6.2191,49.4434,6.9367,61.2754,0
-40,15.4,30,18,30,30,130,0.18,53.3202,28515.5,55.151,2176.52,55.9638,6.20932,49.4482,6.9373,61.2798,0
-40,15.4,30,18,30,30,130,0.18,53.3248,28532.2,55.2767,2176.67,55.921,6.19959,49.453,6.9378,61.2842,0
-40,15.5,30,18,30,30,130,0.18,53.3294,28548.8,55.4017,2176.82,55.8784,6.18992,49.4577,6.9383,61.2885,0
-40,15.6,30,18,30,30,130,0.18,53.3339,28565.3,55.526,2176.97,55.836,6.18031,49.4625,6.9389,61.2928,0
-40,15.6,30,18,30,30,130,0.18,53.3384,28581.8,55.6497,2177.11,55.7937,6.17075,49.4671,6.9394,61.297,0
-40,15.7,30,18,30,30,130,0.18,53.3429,28598.1,55.7726,2177.26,55.7516,6.16124,49.4718,6.9399,61.3013,0
-40,15.7,30,18,30,30,130,0.18,53.3474,28614.4,55.8948,2177.41,55.7097,6.15179,49.4765,6.9404,61.3055,0
-40,15.8,30,18,30,30,130,0.18,53.3519,28630.6,56.0164,2177.55,55.668,6.1424,49.4811,6.9409,61.3097,0
-40,15.8,30,18,30,30,130,0.18,53.3563,28646.7,56.1372,2177.7,55.6264,6.13305,49.4856,6.9413,61.3138,0
-40,15.9,30,18,30,30,130,0.18,53.3607,28662.7,56.2575,2177.84,55.585,6.12376,49.4902,6.9418,61.318,0
-40,15.9,30,18,30,30,130,0.18,53.365,28678.6,56.3773,2177.99,55.5437,6.11452,49.4947,6.9422,61.3221,0
-40,16,30,18,30,30,130,0.18,53.3694,28694.5,56.4965,2178.13,55.5027,6.10533,49.4992,6.9427,61.3262,0
-40,16.1,30,18,30,30,130,0.18,53.3737,28710.3,56.615,2178.27,55.4618,6.09619,49.5037,6.9431,61.3303,0
-40,16.1,30,18,30,30,130,0.18,53.378,28726,56.7329,2178.42,55.421,6.08711,49.5081,6.9436,61.3343,0
-40,16.2,30,18,30,30,130,0.18,53.3823,28741.6,56.8501,2178.56,55.3804,6.07807,49.5125,6.944,61.3383,0
-40,16.2,30,18,30,30,130,0.18,53.3865,28757.1,56.9667,2178.7,55.34,6.06908,49.5169,6.9445,61.3423,0
-40,16.3,30,18,30,30,130,0.18,53.3907,28772.6,57.0827,2178.84,55.2997,6.06015,49.5213,6.9449,61.3463,0
-40,16.3,30,18,30,30,130,0.18,53.3949,28788,57.198,2178.98,55.2596,6.05126,49.5256,6.9454,61.3503,0
-40,16.4,30,18,30,30,130,0.18,53.3991,28803.3,57.3127,2179.12,55.2197,6.04242,49.5299,6.9458,61.3542,0
-40,16.4,30,18,30,30,130,0.18,53.4033,28818.5,57.4267,2179.26,55.1799,6.03363,49.5342,6.9463,61.3581,0
